id	document_id	entity_id	entity_type	paragraph	word
12657	78	1842	Models::Entity	248	17
12658	78	1759	Models::Entity	250	11
12659	78	1844	Models::Entity	250	24
12660	78	1788	Models::Entity	250	37
12661	78	1831	Models::Entity	252	11
12662	78	1759	Models::Entity	252	32
12663	78	1775	Models::Entity	258	3
12664	78	1845	Models::Entity	258	32
12665	78	1846	Models::Entity	258	57
12666	78	1847	Models::Entity	258	84
12667	78	1848	Models::Entity	258	96
12668	78	1849	Models::Entity	260	11
12669	78	1758	Models::Entity	260	11
12670	78	1759	Models::Entity	260	54
12671	78	1773	Models::Entity	260	71
12672	78	1782	Models::Entity	262	6
12673	78	1850	Models::Entity	262	13
12674	78	1851	Models::Entity	262	54
12675	78	1796	Models::Entity	262	63
12676	78	1616	Models::Entity	262	54
12677	78	1852	Models::Entity	262	96
12678	78	1759	Models::Entity	266	10
12679	78	1790	Models::Entity	266	49
12680	78	1810	Models::Entity	268	11
12681	78	1759	Models::Entity	268	85
12682	78	1759	Models::Entity	268	85
12683	78	1786	Models::Entity	270	8
12684	78	1489	Models::Article	270	3
12685	78	1490	Models::Article	270	3
12686	78	1786	Models::Entity	272	8
12687	78	1758	Models::Entity	272	88
12688	78	1853	Models::Entity	274	2
12689	78	1854	Models::Entity	278	4
12690	78	1759	Models::Entity	280	9
12691	78	1759	Models::Entity	284	6
12692	78	1782	Models::Entity	286	6
12693	78	1759	Models::Entity	290	35
12694	78	1855	Models::Entity	290	56
12695	78	1759	Models::Entity	294	2
12696	78	1751	Models::Entity	294	39
12697	78	1856	Models::Entity	294	69
12698	78	1857	Models::Entity	294	87
12699	78	1782	Models::Entity	296	6
12700	78	1858	Models::Entity	296	67
12701	78	1751	Models::Entity	300	44
12702	78	1757	Models::Entity	300	50
12703	78	1751	Models::Entity	300	44
12704	78	1757	Models::Entity	300	50
12705	78	1759	Models::Entity	300	97
12706	78	1859	Models::Entity	302	9
12707	78	1759	Models::Entity	302	1
12708	78	1860	Models::Entity	306	3
12709	78	1861	Models::Entity	306	65
12710	78	1759	Models::Entity	306	5
12711	78	1842	Models::Entity	310	4
12712	78	1862	Models::Entity	310	39
12713	78	1863	Models::Entity	313	5
12714	78	1862	Models::Entity	315	42
12715	78	1491	Models::Article	315	39
12716	78	1864	Models::Entity	317	10
12717	78	1865	Models::Entity	317	22
12718	78	1866	Models::Entity	317	36
12719	78	1867	Models::Entity	317	62
12720	78	1842	Models::Entity	317	92
12721	78	1842	Models::Entity	317	92
12722	78	1759	Models::Entity	317	144
12723	78	1759	Models::Entity	319	43
12724	78	1759	Models::Entity	325	15
12725	78	1759	Models::Entity	325	15
12726	78	1759	Models::Entity	327	21
12727	78	1758	Models::Entity	329	10
12728	78	1796	Models::Entity	331	2
12729	78	1786	Models::Entity	331	25
12730	78	1759	Models::Entity	331	32
12731	78	1868	Models::Entity	331	69
12732	78	1757	Models::Entity	333	44
12733	78	1757	Models::Entity	333	44
12734	78	1759	Models::Entity	335	2
12735	78	1869	Models::Entity	335	19
12736	78	1759	Models::Entity	335	2
12737	78	1759	Models::Entity	337	2
12738	78	1759	Models::Entity	337	2
12739	78	1870	Models::Entity	337	73
12740	78	1871	Models::Entity	337	75
12741	78	1872	Models::Entity	337	94
12742	78	1759	Models::Entity	339	5
12743	78	1873	Models::Entity	339	26
12744	78	1874	Models::Entity	339	55
12745	78	1873	Models::Entity	339	26
12746	78	1875	Models::Entity	341	6
12747	78	1876	Models::Entity	343	12
12748	78	1759	Models::Entity	343	12
12749	78	1759	Models::Entity	343	12
12750	78	1759	Models::Entity	343	12
12751	78	1877	Models::Entity	343	135
12752	78	1759	Models::Entity	345	4
12753	78	1759	Models::Entity	347	7
12754	78	1759	Models::Entity	347	7
12755	78	1759	Models::Entity	351	30
12756	78	1878	Models::Entity	351	56
12757	78	1759	Models::Entity	353	4
12758	78	1759	Models::Entity	357	16
